ticker,severity_0_100,latest_date,latest_price,reasons,failed_rebound_samples_20d,failed_rebound_valid_20d,failed_rebound_avg_return_pct,failed_rebound_median_return_pct,failed_rebound_worst_mae_pct,ret_5d_pct,ret_20d_pct,drawdown_from_52w_high_pct,final_order_permission
SMH,95,2026-07-07,581.45,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",687,True,2.39,2.36,-30.87,-8.0,2.06,-13.08,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
ARM,95,2026-07-07,300.43,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",97,True,2.94,0.83,-40.22,-12.56,-12.39,-31.64,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
PWR,95,2026-07-07,656.79,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",709,True,3.87,2.96,-41.56,-8.06,-5.5,-16.34,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
SOXX,80,2026-07-07,551.69,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",700,True,2.39,2.62,-77.67,-10.2,2.25,-15.77,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
TLT,80,2026-07-07,84.55,"['failed_rebound_risk active', 'below MA20', 'below MA50', 'below MA200']",825,True,0.16,0.19,-11.2,-2.96,-0.23,-5.15,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
ASML,80,2026-07-07,1747.28,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",730,True,3.16,3.05,-34.14,-7.21,6.43,-12.17,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
MU,80,2026-07-07,938.38,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",836,True,2.13,1.34,-57.37,-18.05,8.62,-22.66,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
LRCX,80,2026-07-07,326.13,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",743,True,3.67,2.65,-39.63,-20.63,7.61,-24.74,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
AMAT,80,2026-07-07,554.5,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",780,True,2.57,1.14,-66.01,-20.17,22.4,-23.31,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
KLAC,80,2026-07-07,216.47,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20', 'drawdown from 52w high <= -12%']",714,True,3.23,2.48,-42.5,-22.24,12.21,-28.25,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
CEG,80,2026-07-07,239.71,"['5d pullback not reclaimed', 'below MA20', 'below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",151,True,6.75,4.96,-36.68,-7.56,-5.93,-40.42,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
NRG,70,2026-07-07,138.01,"['5d pullback not reclaimed', 'below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",809,True,1.94,1.49,-51.58,-7.44,6.82,-24.77,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
AMD,65,2026-07-07,516.11,"['failed_rebound_risk active', '5d pullback not reclaimed', 'below MA20']",846,True,0.64,0.0,-46.53,-4.33,10.66,-11.15,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
GLD,60,2026-07-07,377.49,"['below MA20', 'below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",728,True,1.24,1.03,-19.83,2.42,-4.73,-23.88,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
XLK,60,2026-07-07,179.18,"['failed_rebound_risk active', 'below MA20', 'below MA50']",640,True,1.65,2.0,-29.33,-3.36,-0.5,-9.49,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
ORCL,60,2026-07-07,141.6,"['below MA20', 'below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",753,True,2.16,1.36,-32.74,-3.62,-33.35,-56.29,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
ETN,60,2026-07-07,395.68,"['failed_rebound_risk active', 'below MA20', 'below MA50']",743,True,1.23,1.14,-43.96,-3.08,-0.07,-9.2,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
GRID,60,2026-07-07,182.37,"['failed_rebound_risk active', 'below MA20', 'below MA50']",579,True,1.72,1.76,-36.0,-3.18,-2.38,-8.36,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
MSFT,50,2026-07-07,388.84,"['below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",723,True,1.57,1.46,-24.41,5.5,-6.68,-27.81,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
TSLA,50,2026-07-07,402.9,"['below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",591,True,2.84,1.27,-48.38,-2.17,3.04,-17.76,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
COIN,50,2026-07-07,163.51,"['below MA50', 'below MA200', 'drawdown from 52w high <= -12%']",248,True,0.77,-3.12,-72.28,7.82,7.29,-61.05,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
IEF,45,2026-07-07,93.7,"['below MA20', 'below MA50', 'below MA200']",793,True,0.2,0.26,-6.62,-1.1,0.42,-2.82,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
NVDA,40,2026-07-07,196.93,"['below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",723,True,2.29,1.84,-49.1,1.01,-3.98,-16.37,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
AVGO,40,2026-07-07,370.78,"['below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",511,True,4.76,4.04,-49.66,-0.45,-3.72,-22.88,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
VRT,40,2026-07-07,305.58,"['below MA20', 'below MA50', 'drawdown from 52w high <= -12%']",223,True,4.9,3.27,-61.44,-0.45,1.71,-18.76,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
META,35,2026-07-07,615.58,"['below MA200', 'drawdown from 52w high <= -12%']",469,True,2.24,2.49,-35.48,9.42,3.9,-21.83,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
IGV,35,2026-07-07,94.13,"['below MA200', 'drawdown from 52w high <= -12%']",720,True,1.69,2.04,-59.4,4.72,-1.78,-20.07,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
PLTR,35,2026-07-07,134.37,"['below MA200', 'drawdown from 52w high <= -12%']",215,True,7.99,3.89,-48.15,16.14,-0.86,-35.14,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
NOW,35,2026-07-07,110.73,"['below MA200', 'drawdown from 52w high <= -12%']",455,True,2.0,2.48,-41.12,10.76,-1.53,-46.51,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
TSM,30,2026-07-07,432.57,"['5d pullback not reclaimed', 'below MA20']",730,True,2.24,1.63,-28.62,-4.95,4.43,-9.42,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
QQQ,25,2026-07-07,709.43,"['below MA20', 'below MA50']",665,True,1.76,2.1,-30.13,-2.02,0.73,-4.82,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
VGT,25,2026-07-07,114.06,"['below MA20', 'below MA50']",659,True,1.55,1.96,-30.6,-2.09,-0.94,-9.2,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
GOOGL,15,2026-07-07,367.03,['below MA50'],748,True,2.48,2.27,-28.95,3.78,-0.35,-8.78,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
AMZN,15,2026-07-07,245.98,['below MA50'],749,True,2.58,2.35,-37.98,2.43,-0.02,-10.55,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
MDB,15,2026-07-07,361.32,['drawdown from 52w high <= -12%'],338,True,6.07,6.95,-43.26,6.84,3.02,-17.99,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
ARKK,15,2026-07-07,81.19,['drawdown from 52w high <= -12%'],424,True,1.74,2.56,-40.5,0.69,8.99,-12.26,NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
